model,d_prime_No,d_prime_Yes,criterion_c_No,criterion_c_Yes,change_in_d_prime,change_in_criterion_c
Claude Sonnet 5,3.3224728877620295,2.7214801851483195,0.08944962737115525,-0.4642667285722434,-0.6009927026137101,-0.5537163559433986
GPT-5.6 Sol,3.0053163690714775,2.8731344014622597,0.019378057200117427,-0.474468446817988,-0.13218196760921774,-0.4938465040181054
Gemini 3.6 Flash,2.7383457627614387,2.7661757187136304,-0.015998726832716303,-0.6310029526613237,0.02782995595219173,-0.6150042258286074
Grok 4.6,3.8643771363864428,2.9178999263476406,0.32494067629300405,-0.4520856843752977,-0.9464772100388021,-0.7770263606683018
Mistral Large 2512,3.0865084803753247,2.112487545721773,0.2951694290601147,-0.7428743339770805,-0.9740209346535518,-1.0380437630371953
