current_evidence,no_label_percent,label_percent,risk_difference_pp,ci_low_pp,ci_high_pp,risk_ratio
Voices ceased,4.74,22.259999999999998,17.52,16.227579112318075,18.818684293249202,4.69620253164557
Voices persisted,92.60000000000001,97.04,4.4399999999999995,3.5810189026463117,5.314524633407143,1.0479481641468682
